url,publisher,published_year,published_month,authors,journal,volume,issue
"<a href=""https://www.crcpress.com/Remote-Sensing-of-Hydrometeorological-Hazards/Petropoulos-Islam/p/book/9781498777582"">The Added Value of Satellite Soil Moisture for Agricultural Index Insurance</a>",CRC Press,2017,11,"Markus Enenkel <br />
Daniel Osgood<br />
Bristol Powell",,,
"<a href=""http://hdl.handle.net/10.1175/WCAS-D-17-0111.1"">Exploiting the Convergence of Evidence in Satellite Data for Advanced Weather Index Insurance Design</a>",American Meteorological Society,2018,7,"MARKUS ENENKEL<br />
DANIEL OSGOOD<br />
MARTHA ANDERSON<br />
BRISTOL POWELL<br />
JESSICA MCCARTY<br />
CHRISTOPHER NEIGH<br />
MARK CARROLL<br />
MARGARET WOOTEN<br />
GREG HUSAK<br />
CHRISTOPHER HAIN<br />
MOLLY BROWN","Weather, Climate, and Society",11,
"<a href=""http://hdl.handle.net/10.3390/rs10111819"">What Rainfall Does Not Tell Us—Enhancing Financial Instruments with Satellite-Derived Soil Moisture and Evaporative Stress</a>",MDPI,2018,11,"Markus Enenkel <br />
Carlos Farah<br />
Christopher Hain<br />
Andrew White<br />
Martha Anderson<br />
Liangzhi You<br />
Wolfgang Wagner<br />
Daniel Osgood 1",Remote Sensing ,10,11
"<a href=""http://hdl.handle.net/10.3390/rs10121887"">Farmer Perception, Recollection, and Remote Sensing in Weather Index Insurance: An Ethiopia Case Study</a>",MDPI,2018,11,"Daniel Osgood <br />
Bristol Powell <br />
Rahel Diro <br />
Carlos Farah <br />
Markus Enenkel <br />
Molly E. Brown <br />
Greg Husak <br />
S. Lucille Blakeley<br />
Laura Hoffman<br />
Jessica L. McCarty",Remote Sensing ,10,12
"<a href=""https://cgspace.cgiar.org/handle/10568/92977"">Scaling up agricultural adaptation through insurance: Bringing together insurance, big data and agricultural innovation</a>","CGIAR Research Program on Climate, Agriculture and Food Security",2017,5,"Hellin, Jon<br />
Hansen, James W<br />
Rose, Alison<br />
Braun, Melody",,,
"<a href=""http://iri.columbia.edu/wp-content/uploads/2016/10/Latam_data_feas_es.pdf"">IRI Report: Factibilidad del uso de bases de datos climáticos para seguros de índice en América Latina</a>",IRI,2015,12,"Osgood, Daniel",,,
"<a href=""http://iri.columbia.edu/wp-content/uploads/2016/10/IRI-SatelliteDataFeasibility-IndexInsurance.pdf"">IRI Report: Feasibility of Global Weather Datasets for Index Insurance</a>",IRI,2016,10,"Bristol Powell<br />
Manuel Brahm",,,
"<a href=""https://www.cigionline.org/sites/default/files/workshop_washington_march2016.pdf"">Workshop Report: Thinking Outside the Boat About Climate Change Loss and Damage.</a>",Centre for International Governance Innovation,2016,6,"David Estrin, CIGI<br />
Sue Vern Tan, CIGI<br />
Roger-Mark De Souza, Wilson Center<br />
Daniel Osgood, IRI<br />
Melody Braun, IRI<br />
Saleemul Huq, ICCCAD<br />
Masroora Haque, ICCCAD<br />
Dominique Souris",,,
"<a href=""http://hdl.handle.net/10.7916/D8QF8SZ4"">Hierarchical Bayes models for daily rainfall time series at multiple locations from heterogenous data sources</a>",IRI,2016,,"Shirley, Kenneth<br />
Vasilaky, Kathryn N.<br />
Greatrex, Helen L.<br />
Osgood, Daniel E.",,,
"<a href=""https://cgspace.cgiar.org/bitstream/handle/10568/53101/CCAFS_Report14.pdf"">Scaling up index insurance for smallholder farmers: Recent evidence and insights.</a>","CGIAR Research Program on Climate Change, Agriculture and Food Security",2015,1,"Greatrex Helen<br />
Hansen James W<br />
Garvin Samantha<br />
Diro Rahel<br />
Blakeley Sari<br />
Le Guen Margot<br />
Rao Kolli N<br />
Osgood, Daniel E",,14,
"<a href=""http://hdl.handle.net/10.1017/S1068280500005530"">Weather Index Insurance and Common Property Resources</a>",NAREA,2014,12,"Bhattacharya, H.<br />
D.E. Osgood",Agricultural and Resource Economics Review,43,3
"<a href=""http://hdl.handle.net/10.1186/2194-6434-1-23"">US Investments in International Climate Research and Applications: Reflections on Contributions to Interdisciplinary Climate Science and Services, Development, and Adaptation</a>",Springer,2014,6,"Lisa Vaughan<br />
John Furlow<br />
Wayne Higgins<br />
Claudia Nierenberg<br />
Roger Pulwarty<br />
",Earth Perspectives,1,
"<a href=""http://hdl.handle.net/10.1080/00220388.2014.887685"">Evidence of Demand for Index Insurance: Experimental Games and Commercial Transactions in Ethiopia</a>",Taylor & Francis,2014,5,"Michael Norton<br />
Daniel Osgood<br />
Malgosia Madajewicz<br />
Eric Holthaus<br />
Nicole Peterson<br />
Rahel Diro<br />
Conner Mullally<br />
Tse-Ling Tehg<br />
Mengesha Gebremichaelh ",Journal of Development Studies,50,5
"<a href=""http://iri.columbia.edu/wp-content/uploads/2014/10/Using-Satellites-Scalable-Index-Insurance-IRI-ILO-report-2013.pdf"">Using Satellites to Make Index Insurance Scalable:   Final IRI Report to the International Labour Organisation &#8211; Microinsurance Innovation Facility</a>",IRI,2013,10,"Radost Stanimirova<br />
Helen Greatrex<br />
Rahel Diro<br />
Geoff McCarney <br />
Jessica Sharoff<br />
Bristol Mann<br />
Anthony Louis D’Agostino<br />
Marshall Rogers-Martinez<br />
Sarah Blakeley<br />
Christopher Small<br />
Pietro Ceccato<br />
Tufa Dinku<br />
Daniel E. Osgood",,,
"<a href=""http://hdl.handle.net/10.2788/713"">Responsibility in Index Insurance: The Importance of a Solid Science Base for Farmer-Driven Design</a>",Publications Office of the European Union,2013,6,"Osgood, Daniel E",Proceeding of Workshop: The challenges of index-based insurance for food security in developing countries,,
"<a href=""http://hdl.handle.net/10.2788/713"">The challenges of index-based insurance for food security in developing countries</a>",Publications Office of the European Union,2013,6,"Gommes, René<br />
Kayitakire, François",,,
"<a href=""http://hdl.handle.net/10.2788/713"">Climate at Different Spatial and Temporal Scales</a>",Publications Office of the European Union,2013,6,"Lyon, Bradfield",Proceeding of Workshop: The challenges of index-based insurance for food security in developing countries,,
"<a href=""http://hdl.handle.net/10.2788/713"">Capturing the Spatial Variability of Rainfall in Weather-Based Index Insurance</a>",Publications Office of the European Union,2013,6,"Greatrex, Helen<br />
Grimes, David I. F.",Proceeding of Workshop: The challenges of index-based insurance for food security in developing countries,,
"<a href=""http://hdl.handle.net/10.1016/j.gloenvcha.2013.03.003"">Paleoclimate histories improve access and sustainability in index insurance programs</a>",Elsevier,2013,3,"Andrew R. Bell<br />
Daniel Osgood<br />
Benjamin I. Cook<br />
Kevin J. Anchukaitis<br />
Geoffrey McCarney<br />
Arthur Greene<br />
Brendan M. Buckley<br />
Edward R. Cook",Global Environmental Change,23,4
"<a href=""http://hdl.handle.net/10.1093/ajae/aas065 "">The Advantages of Resource Queues over Spot Resource Markets: Decision Coordination in Experiments under Resource Uncertainty</a>",Oxford University Press,2012,8,"Miguel A. Fonseca<br />
Alexander Pfaff<br />
Daniel Osgood",American Journal of Agricultural Economics ,94,5
"<a href=""http://hdl.handle.net/10.1016/j.gloenvcha.2012.05.003"">About time: An integrative approach to effective environmental policy</a>",Elsevier,2012,8,"David J. Hardisty<br />
Ben Orlove<br />
David H. Krantz<br />
Arthur A. Small<br />
Kerry F. Milch<br />
Daniel E. Osgood",Global Environmental Change,22,3
"<a href=""http://hdl.handle.net/10.1111/j.1539-6975.2011.01422.x"">Index Insurance, Production Practices, and Probabilistic Climate Forecasts</a>",Wiley,2012,3,"Miguel A. Carriquiry<br />
Daniel E. Osgood",Journal of Risk and Insurance,79,1
"<a href=""http://hdl.handle.net/10.1007/978-94-007-4839-2_1"">The Value of Information in Index Insurance for Farmers in Africa</a>",Springer,2012,0,"Daniel Osgood<br />
Kenneth E. Shirley",,,
"<a href=""http://purl.umn.edu/117210"">How Do Homebuyers Value Different Types of Green Space?</a>",,2011,8,"Rosalind H. Bark<br />
Daniel E. Osgood<br />
Bonnie Colby<br />
Eve B. Halper",Journal of Agricultural and Resource Economics,36,2
"<a href=""http://portal.iri.columbia.edu/portal/server.pt/gateway/PTARGS_0_5024_7136_0_0_18/TR10-08_HARITA%20Report%20to%20OXFAM%20June2010.pdf"">IRI Technical Report 11-03: HARITA IRI Report to Oxfam America: Final Report for General IRI Capacity Building and Technical Support for HARITA Micro-Insurance Scale up (Re: ETH 018 /10)</a>",International Research Institute for Climate and Society,2011,5,"Osgood, D.<br />
Sharoff, J.<br />
Holthaus, E.<br />
McLaurin, M.<br />
Norton, M.<br />
",IRI Technical Report,,
"<a href=""http://hdl.handle.net/10.7916/D8H41Z92"">IRI Technical Report 10-10: Annex &#8211; Index Insurance and Climate Risk. Prospects for Development and Disaster Management</a>",International Research Institute for Climate and Society,2010,8,"Osgood, D.<br />
Hellmuth, M. (eds)",IRI Technical Report,,
"<a href=""http://portal.iri.columbia.edu/portal/server.pt/gateway/PTARGS_0_4972_7137_0_0_18/TR10-09%20Technical%20Annex%20HARITA%20jUNE%202010.pdf"">IRI Technical Report 10-09: Technical Annex: HARITA IRI Report to Oxfam America &#8211; Interim Report deliverable for GLO 002/10: General IRI Planning and Technical Support for Harita Micro-Insurance Pilot &#8211; June 2010</a>",International Research Institute for Climate and Society,2010,6,"Chen, J.<br />
Dinku, T.<br />
Holthaus, E. <br />
Lyon, B.<br />
Madajewicz, M.<br />
Mullaly, C.<br />
Norton, M.<br />
Osgood, D.<br />
Pascualini, A.<br />
Pant, S.<br />
Peterson, N.<br />
Saavedra, R. <br />
Sharoff, J.<br />
Shirley, K. E. <br />
Small, C. <br />
Stiffel, S.<br />
The, T.-L. ",IRI Technical Report,,
"<a href=""http://portal.iri.columbia.edu/portal/server.pt/gateway/PTARGS_0_4972_7136_0_0_18/TR10-08_HARITA%20Report%20to%20OXFAM%20June2010.pdf"">IRI Technical Report 10-08: HARITA IRI Report to Oxfam America. Final Report for IRI MIEL Planning &#038; Technical Support for HARITA Micro-Insurance Pilot USA 536 / 09. June 2010.</a>",International Research Institute for Climate and Society,2010,6,"Chen, J.<br />
Dinku, T.<br />
Holthaus, E.<br />
Lyon, B.<br />
Madajewicz, M. <br />
Mullaly, C. <br />
Norton, M. <br />
Osgood, D. <br />
Pascualini, A. <br />
Pant, S. <br />
Peterson, N. <br />
Saavedra, R. <br />
Sharoff, J. <br />
Shirley, K. E. <br />
Small, C. <br />
Stiffel, S. <br />
Teh, T.-L. ",IRI Technical Report,,
"<a href=""http://iri.columbia.edu/csp2/spanish/download"">Clima y Sociedad No. 2: Seguros en base a indices climaticos y riesgo climatico: Perspectivas para el desarrollo y la gestion de desastres</a>",International Research Institute for Climate and Society,2010,3,"Hellmuth, M.<br />
Osgood, D.<br />
Hess, U.<br />
Moorhead, A.<br />
Bhojwani, H.",IRI Climate and Society Series,,
"<a href=""http://hdl.handle.net/10.1093/ajae/aap042"">Disease Forecasts and Livestock Health Disclosure: a Shepherd&#8217;s Dilemma</a>",Agricultural and Applied Economics Association,2010,2,"Sheriff, G.<br />
D. Osgood.",American Journal of Agricultural Economic,,
Contributions of Agricultural Systems Modeling to Weather Index Insurance,IRI,2010,0,"Baethgen, W.E.; Hansen, J. W.; Ines, A.V.M.; Jones, J. W.; Meinke, H; Steduto, P.",IRI Climate and Society Series,2,
"<a href=""http://hdl.handle.net/10.1080/00220380902935865"">Long-term Impacts of Droughts on Labour Markets in Developing Countries: Evidence from Brazil</a>",Taylor & Francis,2009,10,"Valerie A. Mueller<br />
Daniel E. Osgood ",The Journal of Development Studies,45,10
"<a href=""http://hdl.handle.net/10.1111/j.1574-0862.2009.00399.x"">Long-Term Consequences of Short-Term Precipitation Shocks: Evidence from Brazilian Migrant Households</a>",Wiley,2009,9,"Valerie Mueller<br />
Daniel Osgood",Agricultural Economics,40,6
"<a href=""http://portal.iri.columbia.edu/portal/server.pt/gateway/PTARGS_0_4972_6332_0_0_18/rpt09-04%202009_EthiopiaInsuranceReporttoOxfam.pdf"">IRI Technical Report 09-04. Designing Index-Based Weather Insurance for Farmers in Adi Ha, Ethiopia. Report to OXFAM America</a>",International Research Institute for Climate and Society,2009,8,"Dinku, T.<br />
Giannini, A.<br />
Hansen, J.<br />
Holthaus, E.<br />
Ines, A.<br />
Kaheil, Y.<br />
Karnauskas, K.<br />
Lyon, B.<br />
Madajewicz, M.<br />
Mclaurin, M.<br />
Mullally, C.<br />
Norton, M.<br />
Osgood, D.<br />
Peterson, N.<br />
Robertson, A.<br />
Shirley, K.<br />
Small, C.<br />
Vicarelli, M.",IRI Technical Report,,
"<a href=""https://iri.columbia.edu/wp-content/uploads/2013/07/Climate-and-Society-Issue-Number-2.pdf"">Climate and Society No. 2. Index insurance and climate risk: propects for development and disaster management</a>",International Research Institute for Climate and Society,2009,6,"Hellmuth, M.<br />
Osgood, D.<br />
Hess, U.<br />
Moorhead, A.<br />
Bhojwani, H.",IRI Climate and Society Series,,
"<a href=""http://hdl.handle.net/10.1016/j.ecolecon.2008.10.005"">Habitat preservation and restoration: Do homebuyers have preference for quality habitat?</a>",Elsevier,2009,3,"Bark-Hodgkins, R.H.<br />
Osgood, D. E.<br />
Colby, B.G.<br />
Katz, G.<br />
Stromberg, J.",Ecological Economics,68,
"<a href=""http://portal.iri.columbia.edu/portal/server.pt/gateway/PTARGS_0_4972_3322_0_0_18/Central.America.Report.pdf"">IRI Technical Report 09-01. Designing Index-Based Weather Insurance for Farmers in Central America</a>",International Research Institute for Climate and Society,2009,3,"Giannini, A.<br />
Hansen, J.<br />
Holthaus, E.<br />
Ines, A.<br />
Kaheil, Y.<br />
Karnauskas, K.<br />
McLaurin, M.<br />
Osgood, D.<br />
Robertson, A.<br />
Shirley, K.<br />
Vicarelli, M.",IRI Technical Report,,
"<a href=""http://hdl.handle.net/10.1029/2007wr006093"">Managing hydroclimatological risk to water supply with option contracts and reservoir index insurance</a>",American Geophysical Union,2007,11,"Brown, C.<br />
Carriquiry, M.",Water Resources Research,43,11
"<a href=""http://hdl.handle.net/10.7916/D88P66DJ"">Designing Weather Insurance Contracts for Farmers in Malawi, Tanzania and Kenya, Final report to the Commodity Risk Management Group, ARD,World Bank</a>",IRI,2007,6,"Osgood, Daniel E.<br />
McLaurin, Megan<br />
Carriquiry, Miguel<br />
Mishra, Ashok<br />
Fiondella, Francesco<br />
Hansen, James W.<br />
Peterson, Nicole<br />
Ward, M. Neil",,,
